exp,bin_ms,pipeline,kind,n_neurons,pc95,pr,top_frac
NPBI,10,raw,null,70,60,41.08356098581983,0.07700568060496159
NPBI,10,paper,null,70,57,35.56980034579761,0.08425148260625949
NPBI,50,raw,null,70,59,32.19553325681617,0.10815481833093507
NPBI,50,paper,null,70,43,20.801795817776373,0.13803711119843576
NPBI,100,raw,null,70,58,24.246998359181823,0.15211698434088075
NPBI,100,paper,null,70,29,12.83583795663951,0.20341490370792975
NPBI,300,raw,null,70,53,7.960063734653257,0.3305833040840511
NPBI,300,paper,null,70,11,5.227606396588346,0.3647016376970497
NPBI,1,raw,null,70,61,43.94267942711453,0.06902656264827477
NPBI,1,paper,null,70,57,35.02827292822608,0.07989736882959324
NPBI,5,raw,null,70,60,43.47994315399379,0.07134516428464456
NPBI,5,paper,null,70,57,34.93943792144963,0.07996257651392154
NPBI,10,raw,null,70,60,41.241562782033355,0.07620186015865776
NPBI,10,paper,null,70,57,36.2783318019533,0.07658699767948844
NPBI,50,raw,null,70,59,32.08416907668637,0.10848475161771623
NPBI,50,paper,null,70,43,20.575014514420623,0.13785142996995084
NPBI,100,raw,null,70,58,24.205547556918837,0.15208695782782986
NPBI,100,paper,null,70,29,12.482913384631821,0.20764939398819046
NPBI,300,raw,null,70,53,7.960063734653257,0.3305833040840511
NPBI,300,paper,null,70,11,5.227606396588346,0.3647016376970497
NPBI,1,raw,null,70,61,43.94202725424432,0.0690343292400657
NPBI,1,paper,null,70,57,34.69817048921438,0.08795174931499984
NPBI,5,raw,null,70,60,43.614836311572226,0.07104780926437579
NPBI,5,paper,null,70,57,34.747792402070125,0.08838626328036601
NPBI,10,raw,null,70,60,41.14440233004575,0.07690051738478346
NPBI,10,paper,null,70,57,35.84774709707539,0.08449769318282405
NPBI,50,raw,null,70,59,32.17742856076137,0.10762396435420536
NPBI,50,paper,null,70,43,21.379381340543468,0.12798361411552042
NPBI,100,raw,null,70,58,24.18493416960934,0.15122594097430916
NPBI,100,paper,null,70,30,13.117176791680485,0.19877415071631654
NPBI,300,raw,null,70,53,7.960063734653257,0.3305833040840511
NPBI,300,paper,null,70,11,5.227606396588346,0.3647016376970497
NPBI,1,raw,null,70,61,43.94219131602387,0.0690296428843489
NPBI,1,paper,null,70,56,32.54258860254455,0.09861671180898907
NPBI,5,raw,null,70,60,43.46331609608086,0.07143812313191632
NPBI,5,paper,null,70,56,32.59482308809607,0.09795658480075589
NPBI,10,raw,null,70,60,41.3557835918239,0.07619385458266545
NPBI,10,paper,null,70,57,34.23367347525343,0.09181664251635717
NPBI,50,raw,null,70,59,32.29628586640222,0.10798657364761782
NPBI,50,paper,null,70,42,20.014475141461464,0.13324388381464866
NPBI,100,raw,null,70,58,24.007784921821735,0.15354114920619047
NPBI,100,paper,null,70,30,12.93042834978859,0.19376062821525286
NPBI,300,raw,null,70,53,7.960063734653257,0.3305833040840511
NPBI,300,paper,null,70,11,5.227606396588346,0.3647016376970497
NPBI,1,raw,null,70,61,43.9418903975401,0.06902520608992464
NPBI,1,paper,null,70,56,34.11520691055699,0.08399683206664785
NPBI,5,raw,null,70,60,43.60715450583129,0.07092267624490653
NPBI,5,paper,null,70,56,34.26247130534634,0.0835545567376975
NPBI,10,raw,null,70,60,41.41024209845701,0.07574435866857276
NPBI,10,paper,null,70,57,35.47491232506607,0.08281125753539116
NPBI,50,raw,null,70,59,32.44217053846263,0.10625282849631773
NPBI,50,paper,null,70,42,21.838801493782753,0.12412236140454311
NPBI,100,raw,null,70,58,24.460779970356196,0.15045509658546496
NPBI,100,paper,null,70,29,13.423964122241431,0.19262711531511262
NPBI,300,raw,null,70,53,7.960063734653257,0.3305833040840511
NPBI,300,paper,null,70,11,5.227606396588346,0.3647016376970497
NPBK,1,raw,real,40,31,23.901181924412242,0.08063190424377634
NPBK,1,paper,real,40,24,6.365949141631779,0.30966055686242827
NPBK,5,raw,real,40,31,22.790680648128856,0.09974145571927864
NPBK,5,paper,real,40,24,6.34028249041537,0.310371396000287
NPBK,10,raw,real,40,30,20.114661578581465,0.1304085524881311
NPBK,10,paper,real,40,25,6.88403769322752,0.2955985419226496
NPBK,50,raw,real,40,28,12.109733673535878,0.21656705225153897
NPBK,50,paper,real,40,14,3.743752260953654,0.41855440175636216
NPBK,100,raw,real,40,27,10.698917206733078,0.2177067603985325
NPBK,100,paper,real,40,9,3.0382913246501015,0.46942722824669186
NPBK,300,raw,real,40,25,9.379910494199311,0.2222892634319601
NPBK,300,paper,real,40,6,2.540034788558082,0.5164905995904702
NPBK,1,raw,null,40,31,23.981799587929732,0.078976838799343
NPBK,1,paper,null,40,25,6.106590150522888,0.3209594906242251
NPBK,5,raw,null,40,31,23.877510834692316,0.08233425700358725
NPBK,5,paper,null,40,24,6.134410932284754,0.31980752356032616
NPBK,10,raw,null,40,30,22.957038223614713,0.09022950390890751
NPBK,10,paper,null,40,25,6.683760360408689,0.303916436106831
NPBK,50,raw,null,40,29,18.044531489972847,0.11730341531729226
NPBK,50,paper,null,40,16,3.586609351453818,0.43098205161475966
NPBK,100,raw,null,40,28,15.700405508941694,0.1264485124860852
NPBK,100,paper,null,40,10,2.972341994248205,0.47565641412563403
NPBK,300,raw,null,40,25,9.379910494199311,0.2222892634319601
NPBK,300,paper,null,40,6,2.540034788558082,0.5164905995904702
NPBK,1,raw,null,40,31,23.982463307008576,0.07896744629760315
NPBK,1,paper,null,40,24,6.166462987140711,0.31859059186017763
NPBK,5,raw,null,40,31,23.871602839909002,0.0827376331877043
NPBK,5,paper,null,40,24,6.181322678780992,0.31810812895945717
NPBK,10,raw,null,40,30,22.874701433896742,0.09044980955953011
NPBK,10,paper,null,40,25,6.767243778603687,0.3020411991163713
NPBK,50,raw,null,40,29,17.71397554269708,0.12257200431471085
NPBK,50,paper,null,40,15,3.5860078947253493,0.42923117765215923
NPBK,100,raw,null,40,28,15.32895275234369,0.12902748459605412
NPBK,100,paper,null,40,10,2.9519364125579335,0.4771045542863359
NPBK,300,raw,null,40,25,9.379910494199311,0.2222892634319601
NPBK,300,paper,null,40,6,2.540034788558082,0.5164905995904702
NPBK,1,raw,null,40,31,23.98241297861942,0.07896839588682174
NPBK,1,paper,null,40,24,6.15136142518502,0.3190429033583761
NPBK,5,raw,null,40,31,23.86402774347517,0.08354910138551322
NPBK,5,paper,null,40,24,6.139617630938753,0.3196906355466773
NPBK,10,raw,null,40,30,22.734297462824564,0.09226151843028613
NPBK,10,paper,null,40,25,6.71051625151238,0.30386420214023346
NPBK,50,raw,null,40,29,17.69530028189614,0.12095294013975297
NPBK,50,paper,null,40,15,3.5708716596301184,0.4313955988502009
NPBK,100,raw,null,40,28,15.40265012574661,0.12904014578872178
NPBK,100,paper,null,40,10,2.9743859949691545,0.47530574203481296
NPBK,300,raw,null,40,25,9.379910494199311,0.2222892634319601
NPBK,300,paper,null,40,6,2.540034788558082,0.5164905995904702
NPBK,1,raw,null,40,31,23.98197793322735,0.07896201513625553
NPBK,1,paper,null,40,24,6.061038427315211,0.32113791599515856
NPBK,5,raw,null,40,31,23.833316201295453,0.08245255525335919
NPBK,5,paper,null,40,24,6.051422308603064,0.3217198628001192
NPBK,10,raw,null,40,30,22.854777973994942,0.09214586895646872
NPBK,10,paper,null,40,25,6.640506259029785,0.30380454172945703
NPBK,50,raw,null,40,29,17.81475093705173,0.11841608909761928
NPBK,50,paper,null,40,15,3.56616140048865,0.4311214192400452
NPBK,100,raw,null,40,28,15.558777292584049,0.12795547238924623
NPBK,100,paper,null,40,10,2.9675127817394076,0.476066185590042
NPBK,300,raw,null,40,25,9.379910494199311,0.2222892634319601
NPBK,300,paper,null,40,6,2.540034788558082,0.5164905995904702
NPBK,1,raw,null,40,31,23.982756949716585,0.07897134749073254
NPBK,1,paper,null,40,24,6.213255490503663,0.3163373984267132
NPBK,5,raw,null,40,31,23.85595359504457,0.08279647332820603
NPBK,5,paper,null,40,24,6.2041495599082435,0.3166234111074853
NPBK,10,raw,null,40,30,22.96165421424706,0.09004587446906909
NPBK,10,paper,null,40,25,6.770675610908676,0.3012308583287229
NPBK,50,raw,null,40,29,17.781304304558013,0.12106210875766625
NPBK,50,paper,null,40,15,3.633123582306452,0.42666327010996596
NPBK,100,raw,null,40,28,15.367739145787871,0.1330019094478061
NPBK,100,paper,null,40,10,2.999412204070534,0.47289972815345566
NPBK,300,raw,null,40,25,9.379910494199311,0.2222892634319601
NPBK,300,paper,null,40,6,2.540034788558082,0.5164905995904702
NPBK,1,raw,null,40,31,23.983134060068547,0.07896425003168125
NPBK,1,paper,null,40,25,6.197567037233613,0.31696665809576074
NPBK,5,raw,null,40,31,23.904457110881083,0.08189494572088057
NPBK,5,paper,null,40,25,6.19827229953732,0.3169258029690308
NPBK,10,raw,null,40,30,22.81674430089912,0.09186856686575953
NPBK,10,paper,null,40,25,6.780309016125238,0.3002266294504117
NPBK,50,raw,null,40,29,17.79663839936143,0.11930087792087378
NPBK,50,paper,null,40,15,3.599586390798445,0.42788153266436424
NPBK,100,raw,null,40,28,15.495019548598535,0.12768332997580784
NPBK,100,paper,null,40,10,3.0230449277516125,0.47066951219164593
NPBK,300,raw,null,40,25,9.379910494199311,0.2222892634319601
NPBK,300,paper,null,40,6,2.540034788558082,0.5164905995904702
NPBK,1,raw,null,40,31,23.98201757124831,0.07896567127989892
NPBK,1,paper,null,40,25,6.149185681373995,0.31941554946559336
NPBK,5,raw,null,40,31,23.853864013979816,0.0824607029592463
NPBK,5,paper,null,40,25,6.142641795883779,0.3195959400223579
NPBK,10,raw,null,40,30,22.690649336327848,0.09251982406756278
NPBK,10,paper,null,40,25,6.7941470959203025,0.3006941086073132
NPBK,50,raw,null,40,29,17.608944745062715,0.1229538957606091
NPBK,50,paper,null,40,15,3.571799358241119,0.43043286124949265
NPBK,100,raw,null,40,28,15.411016949421022,0.12710895443019035
NPBK,100,paper,null,40,10,2.9899436762622056,0.47344096057535856
NPBK,300,raw,null,40,25,9.379910494199311,0.2222892634319601
NPBK,300,paper,null,40,6,2.540034788558082,0.5164905995904702
NPBK,1,raw,null,40,31,23.98222873608516,0.07896897050815019
NPBK,1,paper,null,40,25,6.147883922757284,0.3192542026362532
NPBK,5,raw,null,40,31,23.87508957311679,0.08240538936839528
NPBK,5,paper,null,40,24,6.151552979328413,0.31903802455567837
NPBK,10,raw,null,40,30,22.843129439017723,0.09072973963217076
NPBK,10,paper,null,40,25,6.699374392949372,0.30408906771700855
NPBK,50,raw,null,40,29,17.701998256908986,0.11991116976692545
NPBK,50,paper,null,40,15,3.612139032640896,0.428500469704523
NPBK,100,raw,null,40,28,15.555681940584755,0.1272155951420418
NPBK,100,paper,null,40,10,3.0306176617507194,0.4709731620515546
NPBK,300,raw,null,40,25,9.379910494199311,0.2222892634319601
NPBK,300,paper,null,40,6,2.540034788558082,0.5164905995904702
NPBK,1,raw,null,40,31,23.983337753674206,0.0789663738274302
NPBK,1,paper,null,40,24,6.179003013550739,0.31574128108343685
NPBK,5,raw,null,40,31,23.939109421898873,0.08202289002207686
NPBK,5,paper,null,40,24,6.180776773797519,0.3155507595874356
NPBK,10,raw,null,40,30,22.90827716397638,0.09150131836149938
NPBK,10,paper,null,40,25,6.735724255675978,0.3002171627417451
NPBK,50,raw,null,40,29,17.956033491323794,0.11923335495542922
NPBK,50,paper,null,40,16,3.6712897799186353,0.4230777619148518
NPBK,100,raw,null,40,28,15.661572482777117,0.12631553728162573
NPBK,100,paper,null,40,10,3.0379977023665012,0.4697496338993879
NPBK,300,raw,null,40,25,9.379910494199311,0.2222892634319601
NPBK,300,paper,null,40,6,2.540034788558082,0.5164905995904702
NPBK,1,raw,null,40,31,23.981954384586686,0.07896343626447555
NPBK,1,paper,null,40,25,6.069470114049273,0.3215794212208754
NPBK,5,raw,null,40,31,23.826559520484334,0.08293594287167509
NPBK,5,paper,null,40,25,6.079972654039459,0.3212257569760335
NPBK,10,raw,null,40,30,22.854576890350053,0.09059911032726208
NPBK,10,paper,null,40,25,6.650884578187972,0.30556287402069116
NPBK,50,raw,null,40,29,17.86799189535596,0.11686443217176094
NPBK,50,paper,null,40,15,3.6574814730578527,0.42492089561986385
NPBK,100,raw,null,40,28,15.515832269303367,0.12694108354007688
NPBK,100,paper,null,40,10,2.9860268626910966,0.4744263752807186
NPBK,300,raw,null,40,25,9.379910494199311,0.2222892634319601
NPBK,300,paper,null,40,6,2.540034788558082,0.5164905995904702
NPBM,1,raw,real,62,54,38.80376769665108,0.06437859424576475
NPBM,1,paper,real,62,48,15.064183831088082,0.1801191393082756
NPBM,5,raw,real,62,53,29.976717946938454,0.1186788352491451
NPBM,5,paper,real,62,49,15.245908600949075,0.17804421351734614
NPBM,10,raw,real,62,53,22.12696323673328,0.1651383785723748
NPBM,10,paper,real,62,49,16.88862554374178,0.16568325243778712
NPBM,50,raw,real,62,51,11.629012802602004,0.26403060286069846
NPBM,50,paper,real,62,37,7.4642126436138305,0.30438689732048646
NPBM,100,raw,real,62,50,10.822432856390968,0.2714418719361691
NPBM,100,paper,real,62,27,4.937757211917728,0.3953711083694714
NPBM,300,raw,real,62,49,12.802989325832447,0.2154202828249223
NPBM,300,paper,real,62,13,3.2829254338665956,0.49754117825434996
NPBM,1,raw,null,62,54,39.80796425751808,0.058154498994073926
NPBM,1,paper,null,62,50,22.061208840773272,0.14845069769143013
NPBM,5,raw,null,62,54,40.099659729812664,0.05794446559793909
NPBM,5,paper,null,62,50,22.016358331262246,0.148585660334034
NPBM,10,raw,null,62,54,39.38822076824381,0.05900137830102106
NPBM,10,paper,null,62,50,24.07521441385328,0.13580418545485817
NPBM,50,raw,null,62,53,35.09559398929493,0.07394314942696623
NPBM,50,paper,null,62,40,8.992032107392454,0.28285604425999317
NPBM,100,raw,null,62,52,29.433210977584128,0.10180813888017236
NPBM,100,paper,null,62,30,5.370399435754165,0.38211028338284947
NPBM,300,raw,null,62,49,12.802989325832447,0.2154202828249223
NPBM,300,paper,null,62,13,3.2829254338665956,0.49754117825434996
NPBM,1,raw,null,62,54,39.808071036980614,0.05816196841346323
NPBM,1,paper,null,62,50,22.010386624425774,0.14809745842160346
NPBM,5,raw,null,62,54,40.089099351149756,0.05762267990418176
NPBM,5,paper,null,62,50,22.02462604755308,0.14824230193252147
NPBM,10,raw,null,62,54,39.390674070026755,0.058709497130424934
NPBM,10,paper,null,62,51,24.0556762521841,0.1357730408693896
NPBM,50,raw,null,62,53,35.281991255384995,0.07263779450367114
NPBM,50,paper,null,62,41,8.619364406603385,0.29020733949128086
NPBM,100,raw,null,62,52,29.531662809191122,0.10078620527878894
NPBM,100,paper,null,62,30,5.294706627261692,0.38332409276704177
NPBM,300,raw,null,62,49,12.802989325832447,0.2154202828249223
NPBM,300,paper,null,62,13,3.2829254338665956,0.49754117825434996
NPBM,1,raw,null,62,54,39.807705576809504,0.05815577383037223
NPBM,1,paper,null,62,50,21.801057612429613,0.14970964497106135
NPBM,5,raw,null,62,54,40.12807455887564,0.057620484358090064
NPBM,5,paper,null,62,50,21.752834943851656,0.14971053280100774
NPBM,10,raw,null,62,54,39.38218331650749,0.05849841542793202
NPBM,10,paper,null,62,50,23.83217959369572,0.13668354129066557
NPBM,50,raw,null,62,53,35.109015457014394,0.07514030573616594
NPBM,50,paper,null,62,40,8.854556731041914,0.28581997062809117
NPBM,100,raw,null,62,52,29.38537813461038,0.10246274022305397
NPBM,100,paper,null,62,30,5.3801209319591194,0.38022707929445726
NPBM,300,raw,null,62,49,12.802989325832447,0.2154202828249223
NPBM,300,paper,null,62,13,3.2829254338665956,0.49754117825434996
NPBM,1,raw,null,62,54,39.80800741062586,0.058164383086150157
NPBM,1,paper,null,62,50,21.93364150248258,0.14953541873111387
NPBM,5,raw,null,62,54,40.1558825538259,0.05758802474288472
NPBM,5,paper,null,62,50,21.90500330487442,0.14984702415147919
NPBM,10,raw,null,62,54,39.34614263334378,0.05882459647888542
NPBM,10,paper,null,62,51,23.90039122786844,0.13773037453668666
NPBM,50,raw,null,62,53,34.99134119981885,0.07493817753183353
NPBM,50,paper,null,62,40,8.949023919925615,0.2852162020270349
NPBM,100,raw,null,62,52,29.48020935917056,0.10291315557391277
NPBM,100,paper,null,62,30,5.53697539936082,0.3756896684437821
NPBM,300,raw,null,62,49,12.802989325832447,0.2154202828249223
NPBM,300,paper,null,62,13,3.2829254338665956,0.49754117825434996
NPBM,1,raw,null,62,54,39.808239386983644,0.05815315684364558
NPBM,1,paper,null,62,50,22.200731224525917,0.14748281899113688
NPBM,5,raw,null,62,54,40.106333600199775,0.057783743663164244
NPBM,5,paper,null,62,50,22.239473834693165,0.14737268974810425
NPBM,10,raw,null,62,54,39.33595664178397,0.05885149098093797
NPBM,10,paper,null,62,50,24.209375146027313,0.13498620932215996
NPBM,50,raw,null,62,53,35.118363906722884,0.07400346713938553
NPBM,50,paper,null,62,40,9.061905525253119,0.2826978384136079
NPBM,100,raw,null,62,52,29.345335383174525,0.10272423056070289
NPBM,100,paper,null,62,30,5.490303607970995,0.3762984486090477
NPBM,300,raw,null,62,49,12.802989325832447,0.2154202828249223
NPBM,300,paper,null,62,13,3.2829254338665956,0.49754117825434996
NPBM,1,raw,null,62,54,39.80798615476361,0.058155179446005414
NPBM,1,paper,null,62,50,21.839740519598042,0.1502362113270612
NPBM,5,raw,null,62,54,40.0801509253883,0.05786617654280083
NPBM,5,paper,null,62,50,21.81998603642029,0.1502973953202207
NPBM,10,raw,null,62,54,39.35203975860601,0.058844607185061494
NPBM,10,paper,null,62,51,23.94737347695913,0.13726698217567163
NPBM,50,raw,null,62,53,35.17046398695944,0.07291873934330516
NPBM,50,paper,null,62,40,8.635681652309497,0.2912740170690277
NPBM,100,raw,null,62,52,29.38512957465355,0.10187400876456205
NPBM,100,paper,null,62,30,5.268764639064546,0.38567018383440627
NPBM,300,raw,null,62,49,12.802989325832447,0.2154202828249223
NPBM,300,paper,null,62,13,3.2829254338665956,0.49754117825434996
NPBM,1,raw,null,62,54,39.807895713985616,0.058165632320846365
NPBM,1,paper,null,62,50,21.939958445101066,0.14992150009458668
NPBM,5,raw,null,62,54,40.1058822564067,0.05758869912590082
NPBM,5,paper,null,62,50,21.911586548113185,0.1500256471467104
NPBM,10,raw,null,62,54,39.39029841015135,0.058697712493228964
NPBM,10,paper,null,62,51,24.013274745824823,0.13694804096552354
NPBM,50,raw,null,62,53,35.13039076085347,0.07444797608040049
NPBM,50,paper,null,62,40,8.877057992521108,0.28604204472340033
NPBM,100,raw,null,62,52,29.317044222925027,0.10230711927927526
NPBM,100,paper,null,62,30,5.381274425243927,0.38112297660773986
NPBM,300,raw,null,62,49,12.802989325832447,0.2154202828249223
NPBM,300,paper,null,62,13,3.2829254338665956,0.49754117825434996
NPBM,1,raw,null,62,54,39.80777018643487,0.05815720025368752
NPBM,1,paper,null,62,50,22.03957150225112,0.1479458065684161
NPBM,5,raw,null,62,54,40.12855298875173,0.057835855384875214
NPBM,5,paper,null,62,50,22.004492290444222,0.14803815426666014
NPBM,10,raw,null,62,54,39.40022037258339,0.059079308807801434
NPBM,10,paper,null,62,51,24.096979087436218,0.13517443114906638
NPBM,50,raw,null,62,53,34.96711525504108,0.07522577370463394
NPBM,50,paper,null,62,40,9.105980127099555,0.28134504912200675
NPBM,100,raw,null,62,52,29.56729268490699,0.10115491118305851
NPBM,100,paper,null,62,30,5.31493464753599,0.38468016844905034
NPBM,300,raw,null,62,49,12.802989325832447,0.2154202828249223
NPBM,300,paper,null,62,13,3.2829254338665956,0.49754117825434996
NPBM,1,raw,null,62,54,39.80788756274718,0.058158612561073623
NPBM,1,paper,null,62,50,21.989134448739218,0.1487998524107811
NPBM,5,raw,null,62,54,40.14306483101664,0.05758564718177914
NPBM,5,paper,null,62,50,22.017008792292263,0.14882790772682378
NPBM,10,raw,null,62,54,39.45738224597741,0.05836039348752545
NPBM,10,paper,null,62,51,24.075501400622326,0.13635055734694823
NPBM,50,raw,null,62,53,35.08614365447712,0.07512337635381398
NPBM,50,paper,null,62,40,8.939026990987637,0.28466375073939043
NPBM,100,raw,null,62,52,29.464954564969332,0.10267308104769317
NPBM,100,paper,null,62,30,5.464261300933794,0.3772627703655295
NPBM,300,raw,null,62,49,12.802989325832447,0.2154202828249223
NPBM,300,paper,null,62,13,3.2829254338665956,0.49754117825434996
NPBM,1,raw,null,62,54,39.807534209336424,0.058161583566855586
NPBM,1,paper,null,62,50,21.743176841659363,0.15222250440903567
NPBM,5,raw,null,62,54,40.08449315100925,0.057693592343683514
NPBM,5,paper,null,62,50,21.725475057036952,0.15210949605596172
NPBM,10,raw,null,62,54,39.348031322299626,0.05851106497068035
NPBM,10,paper,null,62,51,24.015647634052513,0.1379400759404052
NPBM,50,raw,null,62,53,35.09668800786922,0.07446199669014962
