test,n,t,p,d
"their pooling, evoked vs prestimulus",4000,-8.826817241695494,1.5815014471663421e-18,-0.19792312192511502
"their pooling, two prestimulus windows",4000,1.0179397876415854,0.30876815120091483,0.022498513409483212
"per animal, evoked vs prestimulus",4,-2.000719930512841,0.1392288040068065,-0.9985310272379652
"per animal, two prestimulus windows",4,0.795784123025233,0.48430797466097125,0.19310607612267516
